Date,MA5_slope
2023-01-04,
2023-01-05,
2023-01-06,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,-2.277000427246096
2023-01-13,-2.0711681365966803
2023-01-17,-2.3043343861897747
2023-01-18,-1.2596661885579483
2023-01-19,-1.089833068847663
2023-01-20,-3.368666712443028
2023-01-23,-3.5123325347900427
2023-01-24,-2.364998499552416
2023-01-25,-4.739500172932947
2023-01-26,-8.40833358764648
2023-01-27,-6.821666463216137
2023-01-30,-4.737000528971374
2023-01-31,-6.887668100992826
2023-02-01,-6.8908345540364495
2023-02-02,-3.5913335164388136
2023-02-03,-3.8278325398762973
2023-02-06,-5.497831980387365
2023-02-07,-4.2856651306152385
2023-02-08,-4.033499145507804
2023-02-09,-2.699334208170569
2023-02-10,-0.2673342386881477
2023-02-13,-1.1063339233398324
2023-02-14,-3.0521685282389277
2023-02-15,-0.4971664428711051
2023-02-16,-0.45499801635741477
2023-02-17,-1.8786661783854062
2023-02-21,0.647833760579438
2023-02-22,2.3581665039062494
2023-02-23,1.8706652323404995
2023-02-24,0.6174980163574068
2023-02-27,-0.9478352864583286
2023-02-28,-1.3933352152506444
2023-03-01,1.2345011393229275
2023-03-02,0.9985028584798291
2023-03-03,1.0200019836425749
2023-03-06,3.381333923339833
2023-03-07,3.993167114257813
2023-03-08,3.81500015258789
2023-03-09,4.270164998372404
2023-03-10,4.722165679931649
2023-03-13,2.3426684061685967
2023-03-14,0.5646685282389328
2023-03-15,-1.0896672566731738
2023-03-16,-1.9680010477701775
2023-03-17,-1.3781672159830691
2023-03-20,-2.404001363118501
2023-03-21,-2.638000488281236
2023-03-22,-1.7821657816568905
2023-03-23,-1.822166188557934
2023-03-24,-2.202999623616551
2023-03-27,0.19700037638344745
2023-03-28,0.8539985656738386
2023-03-29,-0.5311676025390474
2023-03-30,-2.251333109537775
2023-03-31,-2.227001190185561
2023-04-03,-0.5960006713867306
2023-04-04,0.45883356730143987
2023-04-05,1.8416666666666661
2023-04-06,3.5975013732910193
2023-04-10,3.237502543131517
2023-04-11,1.9595019022623745
2023-04-12,1.2263353983561203
2023-04-13,-0.19583257039389204
2023-04-14,-0.32316691080728316
2023-04-17,-0.006000264485678031
2023-04-18,-0.05616734822591477
2023-04-19,2.2936650594075636
2023-04-20,4.589498647054033
2023-04-21,4.405332183837882
2023-04-24,4.835832214355466
2023-04-25,5.4344996134440136
2023-04-26,3.0511665344238352
2023-04-27,-0.04283243815102603
2023-04-28,0.12116724650063304
2023-05-01,0.2275001525878745
2023-05-02,-0.753500111897767
2023-05-03,-0.8283327738444038
2023-05-04,-0.5083328247070421
2023-05-05,-1.668665822347009
2023-05-08,-1.96533203125
2023-05-09,-1.6091654459635336
2023-05-10,-2.0818331400553496
2023-05-11,-0.9851669311523471
2023-05-12,1.0148323059082027
2023-05-15,0.9954973856608073
2023-05-16,-0.32433522542318133
2023-05-17,-1.023000335693368
2023-05-18,-1.51583353678384
2023-05-19,-3.644999186197912
2023-05-22,-4.519832102457689
2023-05-23,-2.7988327026367372
2023-05-24,-1.4009994506835948
2023-05-25,-2.049000040690084
2023-05-26,-2.525001017252604
2023-05-30,-2.924999491373716
2023-05-31,-4.294499715169276
2023-06-01,-5.604001363118475
2023-06-02,-5.546833546956374
2023-06-05,-4.366499328613277
2023-06-06,-3.895834350585948
2023-06-07,-4.754668172200539
2023-06-08,-5.858831787109385
2023-06-09,-6.230166117350261
2023-06-12,-7.078166198730457
2023-06-13,-7.234666188557931
2023-06-14,-5.321332550048827
2023-06-15,-3.390334065755217
2023-06-16,-4.392169698079414
2023-06-20,-2.560501352945977
2023-06-21,-0.5778302510579607
2023-06-22,-1.3063321431477846
2023-06-23,1.9184987386068098
2023-06-26,5.05983479817709
2023-06-27,2.760334269205721
2023-06-28,0.8873313903808627
2023-06-29,0.8188336690266974
2023-06-30,-4.70699818929037
2023-07-03,-7.863500976562487
2023-07-05,-5.2048360188802105
2023-07-06,-3.6750012715657427
2023-07-07,-2.7186650594075465
2023-07-10,0.3628331502278428
2023-07-11,2.547335306803376
2023-07-12,1.0138376871745152
2023-07-13,-0.7981664021809914
2023-07-14,-2.8188374837239536
2023-07-17,-4.733666992187499
2023-07-18,-4.899500528971369
2023-07-19,-0.46166941324870453
2023-07-20,4.207835388183597
2023-07-21,4.261669413248716
2023-07-24,4.956500244140642
2023-07-25,5.938000233968111
2023-07-26,3.6176658630370895
2023-07-27,-0.38583653767904974
2023-07-28,-0.7488339742024598
2023-07-31,0.6176663716634133
2023-08-01,1.7188329060872338
2023-08-02,0.4936673482259124
2023-08-03,0.6095001220702869
2023-08-04,3.2026662190754913
2023-08-07,2.7825007120768155
2023-08-08,2.2178342183431092
2023-08-09,2.645334116617858
2023-08-10,2.545335388183593
2023-08-11,2.15966771443685
2023-08-14,2.853499094645175
2023-08-15,3.2583318074544088
2023-08-16,4.251166025797526
2023-08-17,5.798164876302091
2023-08-18,3.7264981587727823
2023-08-21,0.6975001017252561
2023-08-22,-1.3014989217122352
2023-08-23,-2.1871653238932374
2023-08-24,-3.643997955322258
2023-08-25,-2.994500223795562
2023-08-28,-2.959500122070319
2023-08-29,-4.543831380208334
2023-08-30,-5.102498626708983
2023-08-31,-3.3918327331542883
2023-09-01,-2.430831146240242
2023-09-05,-1.4309984842936057
2023-09-06,1.3796646118164257
2023-09-07,2.1373303731282554
2023-09-08,-2.12250010172527
2023-09-11,-4.4520014444986815
2023-09-12,-2.657834625244154
2023-09-13,-4.510498555501333
2023-09-14,-5.700002034505199
2023-09-15,-1.6593365987141908
2023-09-18,1.369000244140641
2023-09-19,0.6531669616699247
2023-09-20,2.881000010172528
2023-09-21,5.36583607991535
2023-09-22,4.864666748046872
2023-09-25,3.884833017985031
2023-09-26,4.7280003865559905
2023-09-27,3.380498504638671
2023-09-28,0.17299957275392566
2023-09-29,-1.2759994506835852
2023-10-02,-0.38566716512045457
2023-10-03,-2.386834462483719
2023-10-04,-3.7931650797526117
2023-10-05,-2.318830871582032
2023-10-06,-1.6316675821939886
2023-10-09,-2.7330006917317604
2023-10-10,-2.0924977620442697
2023-10-11,0.052167256673158136
2023-10-12,1.1701657613118357
2023-10-13,1.6028358459472827
2023-10-16,1.1986671447754087
2023-10-17,2.6508316040038977
2023-10-18,6.093166097005192
2023-10-19,8.051331583658843
2023-10-20,8.161665089925116
2023-10-23,8.196666717529284
2023-10-24,7.065666198730483
2023-10-25,4.487500000000004
2023-10-26,1.4716677347818863
2023-10-27,1.7640001932779914
2023-10-30,3.355834452311195
2023-10-31,2.5851669311523318
2023-11-01,-0.7491673787434886
2023-11-02,-2.712000274658211
2023-11-03,-3.465000915527341
2023-11-06,-4.560666656494118
2023-11-07,-4.185832468668617
2023-11-08,-0.6568333943684811
2023-11-09,1.9628346761067565
2023-11-10,0.2131680806477784
2023-11-13,-2.0378351847330642
2023-11-14,-3.7278340657552036
2023-11-15,-4.591665903727221
2023-11-16,-4.503334554036447
2023-11-17,-3.223001098632802
2023-11-20,-1.6456654866536315
2023-11-21,0.7938329060872391
2023-11-22,0.8826652526855435
2023-11-24,-0.38316650390626467
2023-11-27,-1.4249992370605586
2023-11-28,-1.5128331502278485
2023-11-29,-0.7861663818359498
2023-11-30,-1.0384999593099
2023-12-01,-0.3715006510416477
2023-12-04,0.9685000101725217
2023-12-05,1.5241671244303348
2023-12-06,0.2080006917317784
2023-12-07,-0.8933324178059934
2023-12-08,-1.0556666056315034
2023-12-11,-0.2036664326985639
2023-12-12,0.4183344523111974
2023-12-13,-0.8393335978190114
2023-12-14,-1.9038342793782401
2023-12-15,-2.0896664937337284
2023-12-18,-3.5056668599446588
2023-12-19,-3.0105016072591106
2023-12-20,-0.9975003560384152
2023-12-21,-0.08416570027669223
2023-12-22,-0.28866399129232434
2023-12-26,-0.9361651102701908
2023-12-27,-1.2218330383300657
2023-12-28,-0.0006652832031335265
2023-12-29,0.9810000101725294
2024-01-02,
2024-01-03,
